County,Current cigarette smoking among adults,No leisure-time physical activity among adults,Obesity among adults
eagle grove,18.95,29.2,33.75
east dublin,21.5,35.1,45.65
east ellijay,15.95,29.35,38.65
east griffin,28.75,41.9,44.25
east newnan,18.05,29.4,49.65
east point,16.45,28.7,37.95
eastman,19.35,33.7,46.95
eatonton,17.65,31.75,45.75
echols,16.9,28.35,41.15
edison,20.3,36.45,47.25
elberton,19.95,34.3,45.1
ellaville,17.05,28.1,38.55
ellenton,21.85,39.6,41.7
ellerslie,16.95,26.05,33.8
ellijay,17.2,30.65,38.8
emerson,16.3,26.5,38
empire,19.75,31.3,42.5
enigma,21.4,34.05,40.45
ephesus,16.8,25.05,38.9
epworth,17.25,28.05,37.85
eton,19.05,32.1,39.25
euharlee,15.35,23.4,37.45
eulonia,20.8,35.05,47.8
evans,11,19.25,32.3
everett,20,30.1,35.35
experiment,28.45,44.4,47.7
faceville,18.65,28.2,36.95
fair oaks,17.95,29.8,37.15
fairburn,16.2,27.85,37.65
fairfield plantation,12.9,23,34.75
fairmount,17.85,24.6,36.9
fairplay,15.6,23.65,39.3
fairview,20.15,33.4,42.4
fargo,22.95,33.8,42
fayetteville,11.75,23.4,33.35
fitzgerald,23.1,37.8,44.15
flemington,15.1,26.65,44.1
flovilla,17.7,28.1,39.65
flowery branch,12.1,19.9,31.85
folkston,18.8,32.85,43.55
forest park,20.25,38.9,45.35
forsyth,18.6,30.5,42.6
fort gaines,21.15,36.8,48.2
fort oglethorpe,16.95,27.6,37.25
fort stewart,15.9,26.25,41.45
fort valley,18.6,34.1,46.35
franklin,20.45,32.95,43.45
franklin springs,13.7,25.9,32.25
funston,23.3,38.3,40.5
gainesville,16.05,29.3,35.5
garden city,18,30,40.4
gardi,17.75,32.05,39.2
garfield,20.65,30.45,41.75
gay,19.95,30.55,37.65
geneva,18.8,33.95,41.9
georgetown,12.75,20.75,34.1
georgetown-quitman,19.65,32.75,44.2
gibson,19.25,32,37.25
gillsville,19.05,27.85,34.3
girard,17.15,26.85,41
glenn,19.1,26.4,38.4
glennville,19,32.45,45.5
glenwood,22.4,34.85,47.6
godfrey,10.15,21.1,33.45
good hope,15.9,24.35,33.95
gordon,20.8,35.1,45.3
gough,26,41.85,50.95
graham,22.8,37.8,44.9
grantville,15.05,22.45,45.45
gray,15.65,25.9,38.4
grayson,10.25,19.75,31.8
greensboro,19.4,34.85,44.45
greenville,18.7,32.1,42.2
gresham park,15.45,23.9,37.5
griffin,20.15,33.25,42.55
grovetown,13.75,23.1,37.65
gumbranch,13.15,19.6,37.8
gumlog,16.85,27.35,35
guyton,16.45,26.4,42.1
hagan,18.05,31.35,42.55
